@relation PE-weka.filters.unsupervised.attribute.Standardize

@attribute height numeric
@attribute weight numeric
@attribute fhl numeric
@attribute fiftyMeter numeric
@attribute zwtqq numeric
@attribute ytxs numeric
@attribute yqmp numeric
@attribute ldty numeric

@data
0.477509,-0.178179,-0.092912,0.524334,-1.301546,-0.493044,-0.114005,216
0.575671,0.611208,-0.315578,1.353219,-0.171831,-0.237595,0.329923,215
-0.24235,-0.091539,-0.278686,0.358557,1.342732,-0.237595,-0.906733,250
1.491856,1.718275,-0.162742,0.19278,0.337162,-0.237595,1.027523,235
-1.044012,-1.410393,-0.655505,1.187442,-0.916698,-0.237595,0.488468,197
0.035777,-0.389966,1.245717,1.021665,0.784082,-0.237595,-1.001861,210
0.232102,-1.420019,-0.077101,-0.304551,-1.090501,-0.237595,0.361632,230
0.13394,-1.179353,-0.780672,0.358557,0.126116,-0.237595,-0.209132,230
1.999029,4.019049,0.704204,2.679436,-1.164987,-0.237595,1.217778,210
0.1503,-0.255192,2.096852,-0.138774,0.262675,-0.237595,-0.526224,230
-0.046025,-0.053032,0.106038,-0.138774,-0.358048,-0.237595,-1.065279,240
-0.700443,-0.139672,1.950605,0.855888,0.486135,-0.237595,-0.621351,220
-0.814966,0.110621,1.343215,0.690111,0.672352,0.017855,-0.65306,223
-0.635001,-0.717272,1.098151,-0.304551,0.61028,0.017855,-0.114005,238
0.755636,0.495688,2.158777,-0.96766,1.491706,-0.493044,0.80556,263
-1.387581,-0.938686,-0.671316,1.021665,-0.258732,0.784203,-0.494515,198
0.477509,2.372888,1.800404,-1.133437,0.523378,2.06145,-0.970151,247
-1.469383,-0.929059,-0.552736,0.19278,1.119272,1.295102,0.42505,209
-0.438676,-0.601752,0.240428,1.518996,-0.010443,1.039653,-0.462805,221
1.426414,0.245394,-0.355104,1.187442,-0.444949,-1.514842,0.615305,220
0.575671,1.439102,-0.2497,1.518996,0.697181,-0.493044,0.329923,189
-0.749524,-1.217859,-0.637059,-0.304551,1.206173,1.806001,-1.889716,237
