@relation PE
@attribute height numeric
@attribute weight numeric
@attribute fhl numeric
@attribute fiftyMeter numeric
@attribute zwtqq numeric
@attribute ytxs numeric
@attribute yqmp numeric
@attribute ldty numeric

@DATA
168.3,56.0,3364,7.2,7.7,5,225,216
164.7,56.0,3671,7.2,18.0,6,216,215
172.1,60.8,4854,7.5,8.7,5,318,216
159.3,62.9,4392,7.0,14.7,6,264,236
175.4,90.5,4686,8.6,11.6,6,311,190
166.7,54.8,5084,7.1,23.4,6,227,226
174.4,90.4,4259,8.2,29.0,6,297,210
171.4,92.8,4551,9.0,27.5,6,301,200
172.3,58.4,5317,7.4,20.5,6,237,245
164.5,59.8,4059,7.7,13.9,5,263,216
160.5,44.6,3853,7.7,0.7,5,261,216
162.1,68.9,4240,8.1,22.5,6,276,200
169.4,57.8,3743,7.3,9.6,6,238,240
168.3,73.5,3564,7.7,15.1,6,233,198
164.2,55.3,5302,7.3,7.4,6,238,210
169.8,61.0,3764,7.7,17.0,7,259,210
170.2,53.8,5264,7.4,24.3,6,213,220
178.7,59.3,5280,7.4,21.1,6,210,207
161.9,50.1,3796,8.6,20.0,6,287,200
167.7,67.7,4400,8.6,16.7,6,307,170
169.8,53.6,5147,6.9,23.2,6,267,243
166.5,55.7,5512,7.4,20.6,6,238,243
177.7,53.9,4912,7.3,20.9,6,232,219
168.8,71.1,5361,8.1,17.5,6,285,208
185.1,67.7,4157,7.5,25.9,6,227,210
169.1,50.5,3785,8.0,8.5,6,248,197
179.0,68.7,5796,8.1,9.4,6,245,237
168.7,70.4,4826,7.5,23.0,6,231,219
168.2,60.9,5399,7.8,34.0,6,234,239
164.8,58.7,3883,7.9,23.7,6,270,244
170.8,61.7,3878,7.3,27.1,6,256,221
163.6,66.2,5930,7.3,24.1,6,244,238
169.7,65.6,3627,7.6,12.8,6,251,208
165.6,73.5,4635,7.8,9.5,6,277,197
177.5,58.5,4805,7.9,8.1,6,289,162
169.0,104.2,4843,9.0,19.3,6,348,232
174.6,69.6,4736,7.2,11.1,6,241,222
171.7,56.0,3476,7.5,13.5,6,258,217
177.3,65.0,4068,7.3,12.6,6,212,224
169.6,61.1,5268,7.5,26.8,6,248,202
174.4,59.9,5697,8.3,20.5,4,211,224
173.6,63.4,4415,8.1,20.4,5,222,216
173.0,72.2,4521,7.5,18.0,6,229,203
174.1,73.2,4323,7.6,14.0,6,247,210
174.5,50.2,3464,7.7,8.6,6,234,203
170.1,63.7,3326,7.1,11.5,6,214,228
167.7,72.9,4017,7.6,7.2,6,248,224
178.2,77.6,5082,7.8,9.0,6,250,211
171.8,65.2,5006,7.6,8.6,6,276,195
185.4,68.8,4475,7.5,19.3,6,266,255
168.3,59.9,3387,7.9,15.8,6,316,220
172.3,60.6,4198,8.1,11.3,6,274,220
169.9,59.1,3477,7.2,19.1,6,240,230
156.0,49.6,3578,8.4,24.9,6,231,215
168.9,68.2,4003,7.5,14.3,6,262,245
167.6,65.1,5596,7.6,16.2,6,269,225
181.2,61.6,4174,7.1,15.9,6,245,210
172.3,79.1,5146,7.5,-3.8,6,216,216
163.5,59.7,3225,8.0,29.4,6,290,237
166.7,54.2,5012,7.7,22.2,6,271,248
163.9,57.5,3168,7.4,12.1,6,250,216
172.5,61.8,4680,7.8,10.9,6,268,227
170.2,64.8,4576,7.8,20.1,6,374,212
173.0,63.0,5077,7.3,11.2,6,246,243
172.5,55.4,3255,7.9,13.7,8,265,231
161.2,55.9,4602,7.7,16.8,6,242,226
174.6,60.3,4035,7.4,20.3,6,266,209
155.0,58.0,3513,7.9,3.1,6,250,228
166.5,64.3,3315,8.2,14.6,6,238,213
183.1,62.6,3565,7.0,23.6,6,244,245
173.0,60.6,3319,8.1,24.3,6,240,220
165.4,57.4,4857,7.5,8.1,6,221,243
167.7,58.5,5186,7.9,21.9,6,282,218
161.9,54.4,5308,7.1,21.4,6,238,231
176.0,80.7,4201,7.6,1.0,6,270,229
171.6,60.0,5056,7.1,9.5,6,192,250
158.7,51.0,4481,8.0,14.3,6,317,228
168.8,52.4,3702,6.8,16.4,6,250,242
171.7,67.9,5182,7.1,20.0,6,231,229
170.6,57.1,4549,8.3,14.2,6,255,202
175.5,54.7,4134,7.9,22.5,8,263,230
182.7,63.9,4608,7.6,-1.4,6,269,237
161.6,49.7,4219,8.2,28.3,6,311,189
174.8,63.5,3973,7.7,18.9,6,320,237
173.5,54.6,4051,7.7,22.7,6,232,237
165.8,61.6,4462,7.8,18.2,6,270,223
173.2,64.6,4709,7.6,0.7,6,219,229
172.7,56.7,3298,7.8,14.4,6,270,213
170.9,66.9,4327,7.6,14.3,6,213,237
171.2,58.9,4379,7.6,12.0,6,256,251
166.2,49.8,4227,7.3,20.4,6,236,235
176.2,83.7,4518,7.4,2.2,6,263,239
168.8,66.7,4027,7.9,31.8,6,263,213
160.4,57.4,4217,8.1,17.1,6,265,200
169.8,55.0,3645,7.1,18.1,6,263,252
175.2,70.8,4941,6.9,20.9,6,224,231
160.7,48.7,5230,8.4,17.3,7,270,189
169.8,76.3,4817,7.2,18.8,6,259,207
156.1,42.2,3930,7.8,7.0,6,257,189
184.1,63.9,3412,7.8,-4.7,6,291,189
183.9,73.5,5034,8.7,13.5,6,283,197
186.9,72.3,6662,7.8,25.3,11,232,261
163.6,52.9,4288,7.7,18.8,6,255,189
171.1,60.9,5216,6.9,25.8,10,277,238
182.9,74.6,4749,7.3,24.1,6,230,248
185.3,83.0,4814,7.5,35.2,6,282,206
180.6,57.5,4097,7.4,21.2,13,236,237
178.0,76.4,5262,8.6,2.2,6,288,189
177.5,71.2,4404,8.3,26.9,1,306,189
173.7,79.7,5897,7.7,25.9,5,240,210
177.8,74.2,4493,7.3,27.4,2,236,229
164.2,52.0,4920,8.3,21.5,12,242,221
171.5,68.2,3568,8.2,18.9,6,260,197
174.9,59.3,4867,6.6,13.9,6,215,246
174.3,65.3,4313,7.3,21.1,6,248,240
172.9,51.2,4980,6.8,15.3,11,227,240
176.6,65.3,5543,7.5,11.1,6,230,237
169.6,47.5,4324,8.0,5.9,6,258,205
175.2,58.6,5096,7.3,13.3,6,228,245
162.4,50.7,3814,7.9,11.8,6,293,205
181.6,63.9,5702,8.4,19.4,6,255,222
162.0,52.1,4498,7.4,15.5,6,236,221
172.6,54.0,3432,7.4,15.9,6,264,244
176.2,60.7,4448,8.0,16.8,6,266,228
169.7,66.2,5731,7.6,13.9,6,228,230
161.8,55.4,3860,8.1,27.2,6,297,200
168.7,54.9,4172,7.6,22.9,6,284,237
164.4,47.8,4256,7.8,20.3,6,311,215
175.0,72.4,4086,8.2,22.4,2,284,205
169.5,53.6,4639,8.1,21.3,6,386,197
176.6,55.0,5746,7.9,16.7,6,264,233
170.2,57.7,4295,8.4,23.5,6,315,213
169.1,54.8,5450,7.5,15.8,6,275,220
177.6,68.1,4132,7.1,32.3,6,204,245
173.0,58.0,5010,7.6,5.1,2,253,221
161.2,58.0,3463,7.8,6.8,12,245,211
172.1,52.4,5790,9.2,23.9,12,272,233
172.1,54.6,4338,7.2,24.6,11,231,264
164.4,50.8,3427,8.3,14.0,19,272,188
165.4,53.6,4206,8.2,9.1,1,253,186
174.0,59.5,5750,7.3,16.0,8,240,249
170.1,55.5,4852,7.5,24.5,9,226,229
167.2,52.5,2858,7.6,21.9,12,199,225
177.2,72.6,5222,7.9,26.5,5,274,197
167.9,55.2,3421,7.3,-2.7,8,261,240
182.4,77.1,4226,7.2,11.8,4,234,222
178.8,96.9,4691,8.5,24.5,6,253,245
168.9,62.9,4720,8.2,15.3,7,368,203
167.6,44.9,4270,8.6,8.1,6,278,222
171.1,47.7,2663,8.6,8.9,2,304,215
169.5,55.7,4099,7.7,18.7,5,245,199
171.6,61.7,3680,7.6,11.3,7,196,197
172.8,50.6,4318,8.2,23.3,3,255,220
164.0,67.6,3814,8.4,22.5,6,287,189
177.0,66.0,4776,8.2,22.0,6,241,209
173.5,49.4,4434,8.1,33.3,6,270,221
158.5,51.1,4560,7.9,8.1,12,243,208
170.3,54.2,3846,7.3,7.3,7,221,213
177.5,73.3,4993,8.0,23.4,10,253,200
188.7,80.6,4462,9.1,16.4,5,285,209
173.5,63.7,4031,7.2,23.2,4,225,221
177.2,56.0,4654,7.1,15.4,11,223,197
160.5,59.8,3812,7.3,21.8,6,261,213
161.8,51.1,4546,7.3,24.1,11,244,240
161.0,53.9,3465,7.8,11.2,4,246,226
172.3,57.2,5084,7.9,15.9,6,316,222
169.7,61.0,4156,7.4,11.7,2,247,235
162.8,55.3,4401,7.6,18.4,6,213,206
169.9,54.3,3693,7.4,24.6,10,318,215
178.2,56.3,5427,7.5,7.2,3,270,228
173.3,53.5,5455,7.6,23.7,5,281,196
169.9,48.4,3893,7.7,15.1,6,290,231
170.6,54.5,4259,7.8,15.0,8,245,221
165.6,53.6,3408,7.5,19.2,7,245,223
161.2,51.5,3320,7.1,17.5,7,223,230
177.2,53.0,3000,7.6,8.1,6,260,228
181.6,60.0,4562,7.6,11.2,10,240,228
172.5,59.5,5771,7.9,19.2,1,256,210
189.3,68.2,4037,7.8,9.9,7,237,229
170.6,52.3,3601,8.2,22.3,6,267,204
187.3,68.7,4762,8.4,17.2,1,284,200
169.3,63.2,4247,7.0,14.0,11,229,231
169.2,50.7,4720,7.9,17.9,8,253,213
169.7,67.0,4806,7.1,23.5,2,249,224
160.3,46.0,5257,7.4,14.0,13,237,231
172.9,74.5,5230,7.2,14.2,7,244,213
179.2,66.1,4091,7.5,18.4,3,232,240
174.9,55.5,3829,7.5,23.3,5,229,228
169.6,64.9,4257,8.3,20.9,3,254,221
164.6,54.8,4523,7.2,8.1,18,217,240
165.8,63.8,4388,7.6,19.7,7,250,198
162.4,60.0,4470,7.4,12.2,7,230,237
169.7,59.2,4294,7.3,19.3,12,225,237
172.5,54.9,4458,7.6,12.5,6,244,239
159.7,57.4,4134,7.4,11.4,9,240,209
172.6,57.9,3299,7.4,9.7,7,277,225
